Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,FIPS
39810.0,40302.0,37102.0,35536.0,63233.0,32760.0,05115
35833.0,39059.0,23333.0,,,,05117
46140.0,56369.0,31768.0,34158.0,62254.0,33789.0,05119
34044.0,34327.0,,,,13348.0,05121
32105.0,36982.0,25924.0,,,20333.0,05123
55817.0,57215.0,43631.0,28546.0,58375.0,51443.0,05125
37321.0,37788.0,,,66250.0,34079.0,05127
33083.0,33300.0,,15682.0,,40313.0,05129
38575.0,40849.0,21563.0,44592.0,42732.0,29090.0,05131
36579.0,38305.0,22824.0,,,29724.0,05133
30691.0,30665.0,,32188.0,243750.0,,05135
29264.0,29322.0,,,,,05137
38678.0,48060.0,26845.0,33571.0,71339.0,30792.0,05139
32312.0,32155.0,,,,36042.0,05141
43524.0,46302.0,31528.0,27794.0,50938.0,36705.0,05143
42554.0,43432.0,24738.0,,,23924.0,05145
28993.0,31193.0,20863.0,,,,05147
37804.0,38631.0,,90893.0,25671.0,36282.0,05149
31757.0,42488.0,31761.0,25600.0,59632.0,34178.0,04001
45075.0,46090.0,66734.0,,61761.0,35446.0,04003
50234.0,55850.0,29613.0,37171.0,34792.0,46345.0,04005
39751.0,40745.0,,26274.0,82847.0,40048.0,04007
45964.0,47676.0,,27984.0,69010.0,46223.0,04009
51628.0,48375.0,100682.0,90446.0,,46000.0,04011
34466.0,35247.0,,30083.0,,36610.0,04012
54229.0,56337.0,39059.0,41137.0,70947.0,40294.0,04013
38488.0,38500.0,30859.0,36111.0,56756.0,32186.0,04015
35921.0,45641.0,,24805.0,42396.0,33107.0,04017
46162.0,48801.0,36278.0,29877.0,45337.0,36745.0,04019
49477.0,50501.0,52107.0,26310.0,66494.0,43213.0,04021
40140.0,41819.0,101563.0,,73472.0,34613.0,04023
44748.0,45086.0,50781.0,37228.0,71563.0,36870.0,04025
40743.0,41798.0,44348.0,26896.0,69716.0,35293.0,04027
75619.0,82824.0,42093.0,52793.0,95216.0,57291.0,06001
52917.0,59423.0,,35625.0,,,06003
54171.0,54719.0,,37578.0,107995.0,31971.0,06005
