M_With,M_Without,F_With,F_Without,All_With,All_Without,FIPS
2620,447,3321,625,5941,1072,13141
11440,2323,12250,2189,23690,4512,13143
13962,1999,14769,1625,28731,3624,13145
9591,2477,10690,1905,20281,4382,13147
4696,946,4900,932,9596,1878,13149
85371,14877,94784,15133,180155,30010,13151
58947,10117,65869,9306,124816,19423,13153
3483,913,3663,807,7146,1720,13155
25164,4923,26283,4530,51447,9453,13157
5250,1356,5831,1056,11081,2412,13159
5847,1475,5753,1799,11600,3274,13161
5460,2074,6623,1709,12083,3783,13163
3388,1032,3609,811,6997,1843,13165
4053,936,3524,722,7577,1658,13167
11697,2189,12775,1798,24472,3987,13169
6918,1516,7795,1609,14713,3125,13171
3545,1171,4178,968,7723,2139,13173
18632,3499,21023,3685,39655,7184,13175
11578,1659,12983,1398,24561,3057,13177
22886,4140,27203,3953,50089,8093,13179
3005,613,3339,676,6344,1289,13181
5944,1405,7095,1139,13039,2544,13183
40735,10962,46699,10123,87434,21085,13185
12100,2752,13756,1907,25856,4659,13187
8135,1936,9121,2099,17256,4035,13189
5469,1281,6025,1132,11494,2413,13191
4552,1488,5046,1199,9598,2687,13193
11295,2515,12103,2143,23398,4658,13195
3072,1249,3655,663,6727,1912,13197
8287,1832,9123,1925,17410,3757,13199
2210,518,2575,471,4785,989,13201
7804,2078,8547,2342,16351,4420,13205
10708,1782,11425,1731,22133,3513,13207
3344,832,3630,785,6974,1617,13209
7275,1122,7953,1354,15228,2476,13211
14877,4265,16243,3793,31120,8058,13213
71343,14830,87018,13855,158361,28685,13215
40481,7653,45244,8348,85725,16001,13217
14971,1716,15812,1701,30783,3417,13219
6078,1142,6369,957,12447,2099,13221
61605,10000,65284,9849,126889,19849,13223
10354,2667,11558,2377,21912,5044,13225
12454,2293,12939,1782,25393,4075,13227
7350,1945,7718,1777,15068,3722,13229
7234,1444,7439,1428,14673,2872,13231
15636,4410,17711,3149,33347,7559,13233
3916,858,4421,852,8337,1710,13235
8179,2278,9375,1249,17554,3527,13237
855,251,1046,174,1901,425,13239
5685,2167,6431,1784,12116,3951,13241
2791,888,2898,620,5689,1508,13243
73605,15946,86184,15914,159789,31860,13245
32871,7965,36981,8361,69852,16326,13247
1907,610,2016,541,3923,1151,13249
5274,1358,5852,1327,11126,2685,13251
3165,893,3756,849,6921,1742,13253
24186,5838,28153,4617,52339,10455,13255
10161,2186,11520,1748,21681,3934,13257
1401,648,1860,389,3261,1037,13259
11738,2388,13950,2450,25688,4838,13261
2635,485,2787,563,5422,1048,13263
620,209,748,144,1368,353,13265
7168,1613,8696,1947,15864,3560,13267
2958,903,3593,739,6551,1642,13269
4484,1276,5636,1127,10120,2403,13271
3138,942,3922,881,7060,1823,13273
16665,4194,19432,3831,36097,8025,13275
14468,4956,16409,4533,30877,9489,13277
9405,3180,11303,2984,20708,6164,13279
4375,762,4735,764,9110,1526,13281
2427,519,2918,501,5345,1020,13283
26673,5391,30199,5172,56872,10563,13285
2846,1128,3240,770,6086,1898,13287
3447,682,3660,630,7107,1312,13289
8616,1695,9628,1331,18244,3026,13291
10356,1973,11483,2142,21839,4115,13293
27895,4896,28522,5676,56417,10572,13295
36422,5187,37677,6185,74099,11372,13297
12488,3237,14200,3448,26688,6685,13299
2094,438,2470,481,4564,919,13301
7449,1569,8563,1594,16012,3163,13303
10408,3006,11328,3135,21736,6141,13305
1238,127,1078,272,2316,399,13307
1508,335,1962,544,3470,879,13309
11160,2236,11932,2264,23092,4500,13311
39089,11898,40821,10887,79910,22785,13313
2808,532,3002,597,5810,1129,13315
3817,797,4416,788,8233,1585,13317
3862,674,4275,476,8137,1150,13319
7876,2283,8636,2197,16512,4480,13321
86553,8577,88674,6523,175227,15100,15001
429201,26111,457423,20975,886624,47086,15003
32,4,35,4,67,8,15005
31135,3317,32223,2228,63358,5545,15007
72806,6977,74047,5505,146853,12482,15009
3329,296,3429,233,6758,529,19001
